utc_time,lat_deg,lon_deg,alt_m,ecef_x_m,ecef_y_m,ecef_z_m,vel_e_ms,vel_n_ms,vel_u_ms,speed_ms,clock_bias_m,n_sats,systems,gdop
2026-03-22T06:44:20.416Z,32.16879734,34.81321045,63.107,4436918.215,3085255.898,3376323.865,-0.034,-0.005,-0.973,0.973,4.161,25,GECR,1.29
2026-03-22T06:44:21.416Z,32.16877855,34.81329958,52.046,4436906.639,3085258.089,3376316.212,-0.414,0.279,0.203,0.538,-2.786,21,GECR,1.60
2026-03-22T06:44:22.416Z,32.16890401,34.81326568,30.742,4436887.578,3085240.940,3376316.646,-0.000,0.049,0.091,0.103,-30.220,24,GECR,1.32
2026-03-22T06:44:23.416Z,32.16883039,34.81321839,46.051,4436904.332,3085247.157,3376317.887,-0.149,0.116,0.388,0.431,-19.555,24,GECR,1.47
2026-03-22T06:44:24.416Z,32.16882540,34.81325582,34.529,4436894.551,3085244.656,3376311.284,0.057,-0.037,-0.617,0.621,-36.276,25,GECR,1.35
2026-03-22T06:44:25.416Z,32.16879517,34.81329045,42.011,4436899.352,3085251.972,3376312.430,0.185,-0.432,0.272,0.543,-31.191,22,GECR,1.69
2026-03-22T06:44:26.416Z,32.16882903,34.81330100,45.311,4436899.436,3085253.242,3376317.365,-0.041,-0.152,0.493,0.517,-34.624,29,GECR,1.22
2026-03-22T06:44:27.416Z,32.16881395,34.81324925,38.913,4436898.507,3085246.652,3376312.544,-0.096,0.029,0.357,0.371,-44.050,28,GECR,1.30
2026-03-22T06:44:28.416Z,32.16881357,34.81328562,47.030,4436902.208,3085253.403,3376316.828,-0.002,-0.014,0.007,0.015,-37.077,28,GECR,1.30
2026-03-22T06:44:29.416Z,32.16880325,34.81330206,42.556,4436898.714,3085252.862,3376313.478,-0.112,0.191,0.541,0.584,-40.626,28,GECR,1.30
2026-03-22T06:44:30.416Z,32.16879423,34.81330950,43.828,4436899.634,3085254.357,3376313.309,-0.193,0.244,0.648,0.719,-41.995,27,GECR,1.35
