utc_time,lat_deg,lon_deg,alt_m,ecef_x_m,ecef_y_m,ecef_z_m,vel_e_ms,vel_n_ms,vel_u_ms,speed_ms,clock_bias_m,n_sats,systems,gdop
2026-03-21T15:14:36.418Z,32.16848667,34.81319593,83.288,4436948.082,3085274.998,3376305.448,-0.098,0.040,-1.337,1.341,16.526,11,GEC,5.62
2026-03-21T15:14:39.418Z,32.16855895,34.81319999,43.043,4436916.390,3085253.427,3376290.805,0.146,0.385,0.870,0.963,-32.353,10,GEC,6.41
2026-03-21T15:14:40.418Z,32.16851787,34.81332427,48.521,4436915.496,3085267.084,3376289.866,0.447,0.547,0.379,0.802,-34.309,14,GECR,3.19
2026-03-21T15:14:41.418Z,32.16852316,34.81324283,39.305,4436913.220,3085256.145,3376285.456,-0.280,-0.123,-1.274,1.310,-50.916,16,GECR,2.95
2026-03-21T15:14:42.418Z,32.16852341,34.81324062,35.628,4436910.771,3085254.189,3376283.522,0.013,0.370,0.049,0.373,-56.482,18,GECR,2.48
2026-03-21T15:14:43.418Z,32.16857900,34.81324567,44.587,4436914.031,3085257.035,3376293.510,0.772,0.521,-1.066,1.416,-52.998,19,GECR,2.27
2026-03-21T15:14:44.418Z,32.16849930,34.81320622,52.314,4436925.389,3085260.401,3376290.142,1.032,1.889,-1.017,2.381,-45.293,18,GECR,2.44
2026-03-21T15:14:45.418Z,32.16859257,34.81326913,58.788,4436921.980,3085265.257,3376302.344,1.259,-0.566,-0.647,1.525,-53.458,17,GECR,3.02
2026-03-21T15:14:46.418Z,32.16853640,34.81323634,36.458,4436910.949,3085253.820,3376285.183,1.375,-0.076,1.425,1.982,-72.682,18,GECR,2.03
2026-03-21T15:14:47.418Z,32.16856159,34.81330522,28.492,4436900.483,3085254.455,3376283.307,0.489,0.320,1.494,1.604,-86.899,21,GECR,2.07
2026-03-21T15:14:48.418Z,32.16863434,34.81333106,35.759,4436900.615,3085257.516,3376294.005,1.015,0.675,0.765,1.440,-84.645,15,GECR,4.47
2026-03-21T15:14:49.418Z,32.16853664,34.81327093,54.527,4436921.633,3085265.223,3376294.826,0.234,0.780,0.537,0.975,-75.790,15,GECR,4.40
2026-03-21T15:14:50.418Z,32.16856504,34.81330399,28.872,4436900.646,3085254.427,3376283.832,0.086,0.705,-0.169,0.730,-106.466,14,GECR,4.41
